	Name	id	Type 1	Legendary	Total	HP	Attack	Defense	Sp. Atk	Sp. Def	Speed
54	Venomoth	49	Bug	False	360	70	65	60	90	75	90
55	Diglett	50	Ground	False	170	10	55	25	35	45	95
56	Dugtrio	51	Ground	False	285	35	80	50	50	70	120
57	Meowth	52	Normal	False	200	40	45	35	40	40	90
58	Persian	53	Normal	False	325	65	70	60	65	65	115
59	Psyduck	54	Water	False	265	50	52	48	65	50	55
60	Golduck	55	Water	False	415	80	82	78	95	80	85
61	Mankey	56	Fighting	False	235	40	80	35	35	45	70
62	Primeape	57	Fighting	False	360	65	105	60	60	70	95
63	Growlithe	58	Fire	False	290	55	70	45	70	50	60
64	Arcanine	59	Fire	False	460	90	110	80	100	80	95
65	Poliwag	60	Water	False	210	40	50	40	40	40	90
66	Poliwhirl	61	Water	False	295	65	65	65	50	50	90
67	Poliwrath	62	Water	False	440	90	95	95	70	90	70
68	Abra	63	Psychic	False	220	25	20	15	105	55	90
69	Kadabra	64	Psychic	False	295	40	35	30	120	70	105
70	Alakazam	65	Psychic	False	380	55	50	45	135	95	120
71	AlakazamMega Alakazam	65	Psychic	False	440	55	50	65	175	95	150
72	Machop	66	Fighting	False	270	70	80	50	35	35	35
73	Machoke	67	Fighting	False	360	80	100	70	50	60	45
74	Machamp	68	Fighting	False	450	90	130	80	65	85	55
75	Bellsprout	69	Grass	False	260	50	75	35	70	30	40
76	Weepinbell	70	Grass	False	335	65	90	50	85	45	55
77	Victreebel	71	Grass	False	420	80	105	65	100	70	70
78	Tentacool	72	Water	False	265	40	40	35	50	100	70
79	Tentacruel	73	Water	False	415	80	70	65	80	120	100
80	Geodude	74	Rock	False	280	40	80	100	30	30	20
81	Graveler	75	Rock	False	355	55	95	115	45	45	35
82	Golem	76	Rock	False	450	80	120	130	55	65	45
83	Ponyta	77	Fire	False	320	50	85	55	65	65	90
84	Rapidash	78	Fire	False	395	65	100	70	80	80	105
85	Slowpoke	79	Water	False	300	90	65	65	40	40	15
86	Slowbro	80	Water	False	460	95	75	110	100	80	30
87	SlowbroMega Slowbro	80	Water	False	560	95	75	180	130	80	30
88	Magnemite	81	Electric	False	280	25	35	70	95	55	45
89	Magneton	82	Electric	False	395	50	60	95	120	70	70
90	Farfetch'd	83	Normal	False	292	52	65	55	58	62	60
91	Doduo	84	Normal	False	235	35	85	45	35	35	75
92	Dodrio	85	Normal	False	360	60	110	70	60	60	100
93	Seel	86	Water	False	280	65	45	55	45	70	45
94	Dewgong	87	Water	False	405	90	70	80	70	95	70
95	Grimer	88	Poison	False	300	80	80	50	40	50	25
96	Muk	89	Poison	False	450	105	105	75	65	100	50
97	Shellder	90	Water	False	265	30	65	100	45	25	40
98	Cloyster	91	Water	False	455	50	95	180	85	45	70
99	Gastly	92	Ghost	False	230	30	35	30	100	35	80
100	Haunter	93	Ghost	False	310	45	50	45	115	55	95
101	Gengar	94	Ghost	False	390	60	65	60	130	75	110
102	GengarMega Gengar	94	Ghost	False	470	60	65	80	170	95	130
103	Onix	95	Rock	False	315	35	45	160	30	45	70
104	Drowzee	96	Psychic	False	286	60	48	45	43	90	42
105	Hypno	97	Psychic	False	416	85	73	70	73	115	67
106	Krabby	98	Water	False	275	30	105	90	25	25	50
107	Kingler	99	Water	False	400	55	130	115	50	50	75
108	Voltorb	100	Electric	False	230	40	30	50	55	55	100
109	Electrode	101	Electric	False	340	60	50	70	80	80	140
110	Exeggcute	102	Grass	False	285	60	40	80	60	45	40
111	Exeggutor	103	Grass	False	465	95	95	85	125	65	55
112	Cubone	104	Ground	False	285	50	50	95	40	50	35
113	Marowak	105	Ground	False	380	60	80	110	50	80	45
114	Hitmonlee	106	Fighting	False	368	50	120	53	35	110	87
115	Hitmonchan	107	Fighting	False	379	50	105	79	35	110	76
116	Lickitung	108	Normal	False	355	90	55	75	60	75	30
117	Koffing	109	Poison	False	305	40	65	95	60	45	35
118	Weezing	110	Poison	False	430	65	90	120	85	70	60
119	Rhyhorn	111	Ground	False	320	80	85	95	30	30	25
120	Rhydon	112	Ground	False	445	105	130	120	45	45	40
121	Chansey	113	Normal	False	400	250	5	5	35	105	50
122	Tangela	114	Grass	False	375	65	55	115	100	40	60
123	Kangaskhan	115	Normal	False	400	105	95	80	40	80	90
124	KangaskhanMega Kangaskhan	115	Normal	False	490	105	125	100	60	100	100
125	Horsea	116	Water	False	235	30	40	70	70	25	60
126	Seadra	117	Water	False	355	55	65	95	95	45	85
127	Goldeen	118	Water	False	257	45	67	60	35	50	63
128	Seaking	119	Water	False	382	80	92	65	65	80	68
129	Staryu	120	Water	False	255	30	45	55	70	55	85
130	Starmie	121	Water	False	405	60	75	85	100	85	115
131	Mr. Mime	122	Psychic	False	370	40	45	65	100	120	90
132	Scyther	123	Bug	False	395	70	110	80	55	80	105
133	Jynx	124	Ice	False	360	65	50	35	115	95	95
134	Electabuzz	125	Electric	False	385	65	83	57	95	85	105
135	Magmar	126	Fire	False	402	65	95	57	100	85	93
136	Pinsir	127	Bug	False	415	65	125	100	55	70	85
137	PinsirMega Pinsir	127	Bug	False	495	65	155	120	65	90	105
138	Tauros	128	Normal	False	380	75	100	95	40	70	110
139	Magikarp	129	Water	False	120	20	10	55	15	20	80
140	Gyarados	130	Water	False	459	95	125	79	60	100	81
141	GyaradosMega Gyarados	130	Water	False	559	95	155	109	70	130	81
142	Lapras	131	Water	False	475	130	85	80	85	95	60
143	Ditto	132	Normal	False	240	48	48	48	48	48	48
144	Eevee	133	Normal	False	270	55	55	50	45	65	55
145	Vaporeon	134	Water	False	460	130	65	60	110	95	65
146	Jolteon	135	Electric	False	395	65	65	60	110	95	130
147	Flareon	136	Fire	False	460	65	130	60	95	110	65
148	Porygon	137	Normal	False	355	65	60	70	85	75	40
149	Omanyte	138	Rock	False	320	35	40	100	90	55	35
150	Omastar	139	Rock	False	440	70	60	125	115	70	55
151	Kabuto	140	Rock	False	300	30	80	90	55	45	55
152	Kabutops	141	Rock	False	415	60	115	105	65	70	80
153	Aerodactyl	142	Rock	False	385	80	105	65	60	75	130
154	AerodactylMega Aerodactyl	142	Rock	False	465	80	135	85	70	95	150
155	Snorlax	143	Normal	False	510	160	110	65	65	110	30
156	Articuno	144	Ice	True	495	90	85	100	95	125	85
157	Zapdos	145	Electric	True	480	90	90	85	125	90	100
158	Moltres	146	Fire	True	490	90	100	90	125	85	90
159	Dratini	147	Dragon	False	250	41	64	45	50	50	50
160	Dragonair	148	Dragon	False	350	61	84	65	70	70	70
161	Dragonite	149	Dragon	False	520	91	134	95	100	100	80
162	Mewtwo	150	Psychic	True	550	106	110	90	154	90	130
163	MewtwoMega Mewtwo X	150	Psychic	True	650	106	190	100	154	100	130
164	MewtwoMega Mewtwo Y	150	Psychic	True	640	106	150	70	194	120	140
165	Mew	151	Psychic	False	500	100	100	100	100	100	100
166	Chikorita	152	Grass	False	273	45	49	65	49	65	45
167	Bayleef	153	Grass	False	345	60	62	80	63	80	60
168	Meganium	154	Grass	False	445	80	82	100	83	100	80
169	Cyndaquil	155	Fire	False	244	39	52	43	60	50	65
170	Quilava	156	Fire	False	325	58	64	58	80	65	80
171	Typhlosion	157	Fire	False	434	78	84	78	109	85	100
172	Totodile	158	Water	False	271	50	65	64	44	48	43
173	Croconaw	159	Water	False	347	65	80	80	59	63	58
174	Feraligatr	160	Water	False	452	85	105	100	79	83	78
175	Sentret	161	Normal	False	195	35	46	34	35	45	20
176	Furret	162	Normal	False	325	85	76	64	45	55	90
177	Hoothoot	163	Normal	False	212	60	30	30	36	56	50
178	Noctowl	164	Normal	False	372	100	50	50	76	96	70
179	Ledyba	165	Bug	False	210	40	20	30	40	80	55
180	Ledian	166	Bug	False	305	55	35	50	55	110	85
181	Spinarak	167	Bug	False	220	40	60	40	40	40	30
182	Ariados	168	Bug	False	350	70	90	70	60	60	40
183	Crobat	169	Poison	False	405	85	90	80	70	80	130
184	Chinchou	170	Water	False	263	75	38	38	56	56	67
185	Lanturn	171	Water	False	393	125	58	58	76	76	67
186	Pichu	172	Electric	False	145	20	40	15	35	35	60
187	Cleffa	173	Fairy	False	203	50	25	28	45	55	15
188	Igglybuff	174	Normal	False	195	90	30	15	40	20	15
189	Togepi	175	Fairy	False	225	35	20	65	40	65	20
190	Togetic	176	Fairy	False	365	55	40	85	80	105	40
191	Natu	177	Psychic	False	250	40	50	45	70	45	70
192	Xatu	178	Psychic	False	375	65	75	70	95	70	95
193	Mareep	179	Electric	False	245	55	40	40	65	45	35
194	Flaaffy	180	Electric	False	320	70	55	55	80	60	45
195	Ampharos	181	Electric	False	455	90	75	85	115	90	55
196	AmpharosMega Ampharos	181	Electric	False	565	90	95	105	165	110	45
197	Bellossom	182	Grass	False	440	75	80	95	90	100	50
198	Marill	183	Water	False	210	70	20	50	20	50	40
199	Azumarill	184	Water	False	370	100	50	80	60	80	50
200	Sudowoodo	185	Rock	False	380	70	100	115	30	65	30
201	Politoed	186	Water	False	430	90	75	75	90	100	70
202	Hoppip	187	Grass	False	200	35	35	40	35	55	50
203	Skiploom	188	Grass	False	260	55	45	50	45	65	80
204	Jumpluff	189	Grass	False	350	75	55	70	55	95	110
205	Aipom	190	Normal	False	275	55	70	55	40	55	85
206	Sunkern	191	Grass	False	150	30	30	30	30	30	30
207	Sunflora	192	Grass	False	395	75	75	55	105	85	30
208	Yanma	193	Bug	False	295	65	65	45	75	45	95
209	Wooper	194	Water	False	195	55	45	45	25	25	15
210	Quagsire	195	Water	False	395	95	85	85	65	65	35
211	Espeon	196	Psychic	False	415	65	65	60	130	95	110
212	Umbreon	197	Dark	False	460	95	65	110	60	130	65
213	Murkrow	198	Dark	False	314	60	85	42	85	42	91
214	Slowking	199	Water	False	460	95	75	80	100	110	30
215	Misdreavus	200	Ghost	False	350	60	60	60	85	85	85
216	Unown	201	Psychic	False	288	48	72	48	72	48	48
217	Wobbuffet	202	Psychic	False	372	190	33	58	33	58	33
218	Girafarig	203	Normal	False	370	70	80	65	90	65	85
219	Pineco	204	Bug	False	275	50	65	90	35	35	15
220	Forretress	205	Bug	False	425	75	90	140	60	60	40
221	Dunsparce	206	Normal	False	370	100	70	70	65	65	45
222	Gligar	207	Ground	False	345	65	75	105	35	65	85
223	Steelix	208	Steel	False	480	75	85	200	55	65	30
224	SteelixMega Steelix	208	Steel	False	580	75	125	230	55	95	30
225	Snubbull	209	Fairy	False	270	60	80	50	40	40	30
226	Granbull	210	Fairy	False	405	90	120	75	60	60	45
227	Qwilfish	211	Water	False	345	65	95	75	55	55	85
228	Scizor	212	Bug	False	435	70	130	100	55	80	65
229	ScizorMega Scizor	212	Bug	False	525	70	150	140	65	100	75
230	Shuckle	213	Bug	False	500	20	10	230	10	230	5
231	Heracross	214	Bug	False	415	80	125	75	40	95	85
232	HeracrossMega Heracross	214	Bug	False	525	80	185	115	40	105	75
233	Sneasel	215	Dark	False	315	55	95	55	35	75	115
234	Teddiursa	216	Normal	False	290	60	80	50	50	50	40
235	Ursaring	217	Normal	False	445	90	130	75	75	75	55
236	Slugma	218	Fire	False	230	40	40	40	70	40	20
237	Magcargo	219	Fire	False	380	50	50	120	80	80	30
238	Swinub	220	Ice	False	200	50	50	40	30	30	50
239	Piloswine	221	Ice	False	400	100	100	80	60	60	50
240	Corsola	222	Water	False	345	55	55	85	65	85	35
241	Remoraid	223	Water	False	235	35	65	35	65	35	65
242	Octillery	224	Water	False	435	75	105	75	105	75	45
243	Delibird	225	Ice	False	255	45	55	45	65	45	75
244	Mantine	226	Water	False	395	65	40	70	80	140	70
245	Skarmory	227	Steel	False	395	65	80	140	40	70	70
246	Houndour	228	Dark	False	265	45	60	30	80	50	65
247	Houndoom	229	Dark	False	405	75	90	50	110	80	95
248	HoundoomMega Houndoom	229	Dark	False	485	75	90	90	140	90	115
249	Kingdra	230	Water	False	455	75	95	95	95	95	85
250	Phanpy	231	Ground	False	290	90	60	60	40	40	40
251	Donphan	232	Ground	False	450	90	120	120	60	60	50
252	Porygon2	233	Normal	False	455	85	80	90	105	95	60
253	Stantler	234	Normal	False	380	73	95	62	85	65	85
254	Smeargle	235	Normal	False	175	55	20	35	20	45	75
255	Tyrogue	236	Fighting	False	175	35	35	35	35	35	35
256	Hitmontop	237	Fighting	False	385	50	95	95	35	110	70
257	Smoochum	238	Ice	False	240	45	30	15	85	65	65
258	Elekid	239	Electric	False	265	45	63	37	65	55	95
259	Magby	240	Fire	False	282	45	75	37	70	55	83
260	Miltank	241	Normal	False	390	95	80	105	40	70	100
261	Blissey	242	Normal	False	485	255	10	10	75	135	55
262	Raikou	243	Electric	True	465	90	85	75	115	100	115
263	Entei	244	Fire	True	480	115	115	85	90	75	100
264	Suicune	245	Water	True	495	100	75	115	90	115	85
265	Larvitar	246	Rock	False	259	50	64	50	45	50	41
266	Pupitar	247	Rock	False	359	70	84	70	65	70	51
267	Tyranitar	248	Rock	False	539	100	134	110	95	100	61
268	TyranitarMega Tyranitar	248	Rock	False	629	100	164	150	95	120	71
269	Lugia	249	Psychic	True	570	106	90	130	90	154	110
270	Ho-oh	250	Fire	True	590	106	130	90	110	154	90
271	Celebi	251	Psychic	False	500	100	100	100	100	100	100
272	Treecko	252	Grass	False	240	40	45	35	65	55	70
273	Grovyle	253	Grass	False	310	50	65	45	85	65	95
274	Sceptile	254	Grass	False	410	70	85	65	105	85	120
275	SceptileMega Sceptile	254	Grass	False	485	70	110	75	145	85	145
276	Torchic	255	Fire	False	265	45	60	40	70	50	45
277	Combusken	256	Fire	False	350	60	85	60	85	60	55
278	Blaziken	257	Fire	False	450	80	120	70	110	70	80
279	BlazikenMega Blaziken	257	Fire	False	530	80	160	80	130	80	100
280	Mudkip	258	Water	False	270	50	70	50	50	50	40
281	Marshtomp	259	Water	False	355	70	85	70	60	70	50
282	Swampert	260	Water	False	475	100	110	90	85	90	60
283	SwampertMega Swampert	260	Water	False	565	100	150	110	95	110	70
284	Poochyena	261	Dark	False	185	35	55	35	30	30	35
285	Mightyena	262	Dark	False	350	70	90	70	60	60	70
286	Zigzagoon	263	Normal	False	180	38	30	41	30	41	60
287	Linoone	264	Normal	False	320	78	70	61	50	61	100
288	Wurmple	265	Bug	False	175	45	45	35	20	30	20
289	Silcoon	266	Bug	False	190	50	35	55	25	25	15
290	Beautifly	267	Bug	False	330	60	70	50	100	50	65
291	Cascoon	268	Bug	False	190	50	35	55	25	25	15
292	Dustox	269	Bug	False	320	60	50	70	50	90	65
293	Lotad	270	Water	False	190	40	30	30	40	50	30
294	Lombre	271	Water	False	290	60	50	50	60	70	50
295	Ludicolo	272	Water	False	410	80	70	70	90	100	70
296	Seedot	273	Grass	False	190	40	40	50	30	30	30
297	Nuzleaf	274	Grass	False	280	70	70	40	60	40	60
298	Shiftry	275	Grass	False	400	90	100	60	90	60	80
299	Taillow	276	Normal	False	185	40	55	30	30	30	85
300	Swellow	277	Normal	False	305	60	85	60	50	50	125
301	Wingull	278	Water	False	185	40	30	30	55	30	85
302	Pelipper	279	Water	False	365	60	50	100	85	70	65
303	Ralts	280	Psychic	False	158	28	25	25	45	35	40
304	Kirlia	281	Psychic	False	228	38	35	35	65	55	50
305	Gardevoir	282	Psychic	False	438	68	65	65	125	115	80
306	GardevoirMega Gardevoir	282	Psychic	False	518	68	85	65	165	135	100
307	Surskit	283	Bug	False	204	40	30	32	50	52	65
308	Masquerain	284	Bug	False	354	70	60	62	80	82	60
309	Shroomish	285	Grass	False	260	60	40	60	40	60	35
310	Breloom	286	Grass	False	390	60	130	80	60	60	70
311	Slakoth	287	Normal	False	250	60	60	60	35	35	30
312	Vigoroth	288	Normal	False	350	80	80	80	55	55	90
313	Slaking	289	Normal	False	570	150	160	100	95	65	100
314	Nincada	290	Bug	False	226	31	45	90	30	30	40
315	Ninjask	291	Bug	False	296	61	90	45	50	50	160
316	Shedinja	292	Bug	False	196	1	90	45	30	30	40
317	Whismur	293	Normal	False	212	64	51	23	51	23	28
318	Loudred	294	Normal	False	312	84	71	43	71	43	48
319	Exploud	295	Normal	False	422	104	91	63	91	73	68
320	Makuhita	296	Fighting	False	212	72	60	30	20	30	25
321	Hariyama	297	Fighting	False	424	144	120	60	40	60	50
322	Azurill	298	Normal	False	170	50	20	40	20	40	20
323	Nosepass	299	Rock	False	345	30	45	135	45	90	30
324	Skitty	300	Normal	False	210	50	45	45	35	35	50
325	Delcatty	301	Normal	False	310	70	65	65	55	55	70
326	Sableye	302	Dark	False	330	50	75	75	65	65	50
327	SableyeMega Sableye	302	Dark	False	460	50	85	125	85	115	20
328	Mawile	303	Steel	False	330	50	85	85	55	55	50
329	MawileMega Mawile	303	Steel	False	430	50	105	125	55	95	50
330	Aron	304	Steel	False	300	50	70	100	40	40	30
331	Lairon	305	Steel	False	390	60	90	140	50	50	40
332	Aggron	306	Steel	False	480	70	110	180	60	60	50
333	AggronMega Aggron	306	Steel	False	580	70	140	230	60	80	50
334	Meditite	307	Fighting	False	220	30	40	55	40	55	60
335	Medicham	308	Fighting	False	330	60	60	75	60	75	80
336	MedichamMega Medicham	308	Fighting	False	410	60	100	85	80	85	100
337	Electrike	309	Electric	False	230	40	45	40	65	40	65
338	Manectric	310	Electric	False	370	70	75	60	105	60	105
339	ManectricMega Manectric	310	Electric	False	440	70	75	80	135	80	135
340	Plusle	311	Electric	False	310	60	50	40	85	75	95
341	Minun	312	Electric	False	310	60	40	50	75	85	95
342	Volbeat	313	Bug	False	315	65	73	55	47	75	85
343	Illumise	314	Bug	False	315	65	47	55	73	75	85
344	Roselia	315	Grass	False	335	50	60	45	100	80	65
345	Gulpin	316	Poison	False	262	70	43	53	43	53	40
346	Swalot	317	Poison	False	412	100	73	83	73	83	55
347	Carvanha	318	Water	False	240	45	90	20	65	20	65
348	Sharpedo	319	Water	False	365	70	120	40	95	40	95
349	SharpedoMega Sharpedo	319	Water	False	455	70	140	70	110	65	105
350	Wailmer	320	Water	False	340	130	70	35	70	35	60
351	Wailord	321	Water	False	440	170	90	45	90	45	60
352	Numel	322	Fire	False	270	60	60	40	65	45	35
353	Camerupt	323	Fire	False	420	70	100	70	105	75	40
354	CameruptMega Camerupt	323	Fire	False	540	70	120	100	145	105	20
355	Torkoal	324	Fire	False	450	70	85	140	85	70	20
356	Spoink	325	Psychic	False	270	60	25	35	70	80	60
357	Grumpig	326	Psychic	False	390	80	45	65	90	110	80
358	Spinda	327	Normal	False	300	60	60	60	60	60	60
359	Trapinch	328	Ground	False	280	45	100	45	45	45	10
360	Vibrava	329	Ground	False	270	50	70	50	50	50	70
361	Flygon	330	Ground	False	420	80	100	80	80	80	100
362	Cacnea	331	Grass	False	300	50	85	40	85	40	35
363	Cacturne	332	Grass	False	420	70	115	60	115	60	55
364	Swablu	333	Normal	False	260	45	40	60	40	75	50
365	Altaria	334	Dragon	False	410	75	70	90	70	105	80
366	AltariaMega Altaria	334	Dragon	False	510	75	110	110	110	105	80
367	Zangoose	335	Normal	False	368	73	115	60	60	60	90
368	Seviper	336	Poison	False	393	73	100	60	100	60	65
369	Lunatone	337	Rock	False	370	70	55	65	95	85	70
370	Solrock	338	Rock	False	370	70	95	85	55	65	70
371	Barboach	339	Water	False	228	50	48	43	46	41	60
372	Whiscash	340	Water	False	408	110	78	73	76	71	60
373	Corphish	341	Water	False	273	43	80	65	50	35	35
374	Crawdaunt	342	Water	False	413	63	120	85	90	55	55
375	Baltoy	343	Ground	False	245	40	40	55	40	70	55
376	Claydol	344	Ground	False	425	60	70	105	70	120	75
377	Lileep	345	Rock	False	332	66	41	77	61	87	23
378	Cradily	346	Rock	False	452	86	81	97	81	107	43
379	Anorith	347	Rock	False	280	45	95	50	40	50	75
380	Armaldo	348	Rock	False	450	75	125	100	70	80	45
381	Feebas	349	Water	False	120	20	15	20	10	55	80
382	Milotic	350	Water	False	459	95	60	79	100	125	81
383	Castform	351	Normal	False	350	70	70	70	70	70	70
384	Kecleon	352	Normal	False	400	60	90	70	60	120	40
385	Shuppet	353	Ghost	False	250	44	75	35	63	33	45
386	Banette	354	Ghost	False	390	64	115	65	83	63	65
387	BanetteMega Banette	354	Ghost	False	480	64	165	75	93	83	75
388	Duskull	355	Ghost	False	270	20	40	90	30	90	25
389	Dusclops	356	Ghost	False	430	40	70	130	60	130	25
390	Tropius	357	Grass	False	409	99	68	83	72	87	51
391	Chimecho	358	Psychic	False	360	65	50	70	95	80	65
392	Absol	359	Dark	False	390	65	130	60	75	60	75
393	AbsolMega Absol	359	Dark	False	450	65	150	60	115	60	115
394	Wynaut	360	Psychic	False	237	95	23	48	23	48	23
395	Snorunt	361	Ice	False	250	50	50	50	50	50	50
396	Glalie	362	Ice	False	400	80	80	80	80	80	80
397	GlalieMega Glalie	362	Ice	False	480	80	120	80	120	80	100
398	Spheal	363	Ice	False	265	70	40	50	55	50	25
399	Sealeo	364	Ice	False	365	90	60	70	75	70	45
400	Walrein	365	Ice	False	465	110	80	90	95	90	65
401	Clamperl	366	Water	False	313	35	64	85	74	55	32
402	Huntail	367	Water	False	433	55	104	105	94	75	52
403	Gorebyss	368	Water	False	433	55	84	105	114	75	52
404	Relicanth	369	Water	False	430	100	90	130	45	65	55
405	Luvdisc	370	Water	False	233	43	30	55	40	65	97
406	Bagon	371	Dragon	False	250	45	75	60	40	30	50
407	Shelgon	372	Dragon	False	370	65	95	100	60	50	50
408	Salamence	373	Dragon	False	500	95	135	80	110	80	100
409	SalamenceMega Salamence	373	Dragon	False	580	95	145	130	120	90	120
410	Beldum	374	Steel	False	270	40	55	80	35	60	30
411	Metang	375	Steel	False	370	60	75	100	55	80	50
412	Metagross	376	Steel	False	530	80	135	130	95	90	70
413	MetagrossMega Metagross	376	Steel	False	590	80	145	150	105	110	110
414	Regirock	377	Rock	True	530	80	100	200	50	100	50
415	Regice	378	Ice	True	530	80	50	100	100	200	50
416	Registeel	379	Steel	True	530	80	75	150	75	150	50
417	Latias	380	Dragon	True	490	80	80	90	110	130	110
418	LatiasMega Latias	380	Dragon	True	590	80	100	120	140	150	110
419	Latios	381	Dragon	True	490	80	90	80	130	110	110
420	LatiosMega Latios	381	Dragon	True	590	80	130	100	160	120	110
421	Kyogre	382	Water	True	580	100	100	90	150	140	90
422	KyogrePrimal Kyogre	382	Water	True	680	100	150	90	180	160	90
423	Groudon	383	Ground	True	580	100	150	140	100	90	90
424	GroudonPrimal Groudon	383	Ground	True	680	100	180	160	150	90	90
425	Rayquaza	384	Dragon	True	585	105	150	90	150	90	95
426	RayquazaMega Rayquaza	384	Dragon	True	665	105	180	100	180	100	115
427	Jirachi	385	Steel	True	500	100	100	100	100	100	100
428	DeoxysNormal Forme	386	Psychic	True	450	50	150	50	150	50	150
429	DeoxysAttack Forme	386	Psychic	True	450	50	180	20	180	20	150
430	DeoxysDefense Forme	386	Psychic	True	510	50	70	160	70	160	90
431	DeoxysSpeed Forme	386	Psychic	True	420	50	95	90	95	90	180
432	Turtwig	387	Grass	False	287	55	68	64	45	55	31
433	Grotle	388	Grass	False	369	75	89	85	55	65	36
434	Torterra	389	Grass	False	469	95	109	105	75	85	56
435	Chimchar	390	Fire	False	248	44	58	44	58	44	61
436	Monferno	391	Fire	False	324	64	78	52	78	52	81
437	Infernape	392	Fire	False	426	76	104	71	104	71	108
438	Piplup	393	Water	False	274	53	51	53	61	56	40
439	Prinplup	394	Water	False	355	64	66	68	81	76	50
440	Empoleon	395	Water	False	470	84	86	88	111	101	60
441	Starly	396	Normal	False	185	40	55	30	30	30	60
442	Staravia	397	Normal	False	260	55	75	50	40	40	80
443	Staraptor	398	Normal	False	385	85	120	70	50	60	100
444	Bidoof	399	Normal	False	219	59	45	40	35	40	31
445	Bibarel	400	Normal	False	339	79	85	60	55	60	71
446	Kricketot	401	Bug	False	169	37	25	41	25	41	25
447	Kricketune	402	Bug	False	319	77	85	51	55	51	65
448	Shinx	403	Electric	False	218	45	65	34	40	34	45
449	Luxio	404	Electric	False	303	60	85	49	60	49	60
450	Luxray	405	Electric	False	453	80	120	79	95	79	70
451	Budew	406	Grass	False	225	40	30	35	50	70	55
452	Roserade	407	Grass	False	425	60	70	65	125	105	90
453	Cranidos	408	Rock	False	292	67	125	40	30	30	58
454	Rampardos	409	Rock	False	437	97	165	60	65	50	58
455	Shieldon	410	Rock	False	320	30	42	118	42	88	30
456	Bastiodon	411	Rock	False	465	60	52	168	47	138	30
457	Burmy	412	Bug	False	188	40	29	45	29	45	36
